26291,2725,Personal,0.0
79620,6981,Personal,0.0
36213,9572,Personal,0.0
52850,1644,Personal,0.0
29606,5707,Personal,0.0
19849,3090,Personal,0.0
70326,5343,Personal,0.0
56178,5015,Personal,0.0
83894,5038,Personal,0.0
46873,5585,Personal,0.0
50426,5004,Personal,0.0
58067,9244,Personal,0.0
45623,3164,Personal,0.0
84687,9024,Personal,0.0
21420,4969,Personal,0.0
74078,5293,Personal,0.0
63280,9617,Personal,0.0
66276,2971,Personal,0.0
87596,4782,Personal,0.0
44769,1343,Personal,0.0
80736,2151,Personal,0.0
76792,7296,Personal,0.0
50285,6813,Personal,0.0
14535,4135,Personal,0.0
35233,3830,Personal,0.0
35962,3881,Personal,0.0
14275,8396,Personal,0.0
14113,6097,Personal,0.0
23040,8137,Personal,0.0
46708,1162,Personal,0.0
49777,6900,Personal,0.0
68599,7297,Personal,0.0
60764,9986,Personal,0.0
79291,1226,Personal,0.0
89992,5291,Personal,0.0
30968,2496,Personal,0.0
75338,5814,Personal,0.0
86459,6002,Personal,0.0
64514,7443,Personal,0.0
35787,5215,Personal,0.0
52427,6975,Personal,0.0
29147,6016,Personal,0.0
82105,8231,Personal,0.0
39208,7806,Personal,0.0
75741,1564,Personal,0.0
57881,6131,Personal,0.0
45149,7291,Personal,0.0
23672,3264,Personal,0.0
58041,1718,Personal,0.0
32735,8056,Personal,0.0
48679,9737,Personal,0.0
99719,7874,Personal,0.0
60060,3396,Personal,0.0
98655,3179,Personal,0.0
35313,5989,Personal,0.0
74366,6294,Personal,0.0
88148,5944,Personal,0.0
15525,7517,Personal,0.0
69104,2795,Personal,0.0
69620,4401,Personal,0.0
35176,8677,Personal,0.0
50213,9677,Personal,0.0
99716,9571,Personal,0.0
36533,3045,Personal,0.0
65490,9694,Personal,0.0
42234,6582,Personal,0.0
39909,3365,Personal,0.0
84061,2115,Personal,0.0
48406,3004,Personal,0.0
75159,8267,Personal,0.0
50834,8627,Personal,0.0
52327,2262,Personal,0.0
57818,4150,Personal,0.0
14287,2113,Personal,0.0
24294,7241,Personal,0.0
16019,3297,Personal,0.0
75953,5317,Personal,0.0
66863,9434,Personal,0.0
50465,1858,Personal,0.0
92868,5480,Personal,0.0
90920,6042,Personal,0.0
29362,5787,Personal,0.0
88734,3239,Personal,0.0
20795,5627,Personal,0.0
18134,6622,Personal,0.0
17409,9854,Personal,0.0
53546,2451,Personal,0.0
99862,5506,Personal,0.0
34826,8764,Personal,0.0
79259,6535,Personal,0.0
10434,7493,Personal,0.0
13456,2474,Personal,0.0
61437,3762,Personal,0.0
78410,4041,Personal,0.0
34627,4931,Personal,0.0
33782,2897,Personal,0.0
55549,2720,Personal,0.0
74085,4037,Personal,0.0
12574,2592,Personal,0.0
61478,1500,Personal,0.0
36854,2659,Personal,0.0
46408,8884,Personal,0.0
56400,1778,Personal,500.0
52262,9453,Business,0.0
64639,3169,Personal,0
